"About the data: Exported on Oct 25, 2022. Criteria: '(robot OR robots OR robotics OR vehicle OR vehicles) AND (((localize OR localization OR localizing OR localise OR localisation OR localising) AND (map OR maps OR mapping)) OR ""slam"") AND (""long term"" OR ""life long"" OR lifelong)' in title and abstract; Publication Year is 2022. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
2357,pub.1147023391,10.1007/s11042-021-11870-4,,,Map management for robust long-term visual localization of an autonomous shuttle in changing conditions,"Changes in appearance present a tremendous problem for the visual localization of an autonomous vehicle in outdoor environments. Data association between the current image and the landmarks in the map can be challenging in cases where the map was built with different environmental conditions. This paper introduces a solution to build and use multi-session maps incorporating sequences recorded in different conditions (day, night, fog, snow, rain, change of season, etc.). During visual localization, we exploit a ranking function to extract the most relevant keyframes from the map. This ranking function is designed to take into account the pose of the vehicle as well as the current environmental condition. In the mapping phase, covering all conditions by constantly adding data to the map leads to a continuous growth in the map size which in turn deteriorates the localization speed and performance. Our map management strategy is an incremental approach that aims to limit the size of the map while keeping it as diverse as possible. Our experiments were performed on real data collected with our autonomous shuttle as well as on a widely used public dataset. The results demonstrate that our keyframe-based ranking function is suitable for long-term scenarios. Our map management algorithm aims to build a map with as much diversity as possible whereas some state of the art approaches tend to filter out the less observed landmarks. This strategy shows a reduction of localization failures while maintaining real-time performance.","This work has been sponsored by the French government research program “Investissements d’Avenir” through the IMobS3 Laboratory of Excellence (ANR-10-LABX-16-01) and the RobotEx Equipment of Excellence (ANR-10-EQPX-44), by the European Union through the Regional Competitiveness and Employment program 2014-2020 (ERDF - AURA region) and by the AURA region.",Multimedia Tools and Applications,,,2022-04-11,2022,2022-04-11,2022-07,81,16,22449-22480,Closed,Article,"Bouaziz, Youssef; Royer, Eric; Bresson, Guillaume; Dhome, Michel","Bouaziz, Youssef (Institut Pascal, CNRS, Clermont-Ferrand, Institut VEDECOM, Versailles, France); Royer, Eric (Institut Pascal, CNRS, SIGMA Clermont, Clermont-Ferrand, France); Bresson, Guillaume (Institut VEDECOM, Versailles, France); Dhome, Michel (Institut Pascal, CNRS, SIGMA Clermont, Clermont-Ferrand, France)","Bouaziz, Youssef (Institut Pascal)","Bouaziz, Youssef (Institut Pascal); Royer, Eric (Sigma Clermont); Bresson, Guillaume (VeDeCoM Institute); Dhome, Michel (Sigma Clermont)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1147023391,46 Information and Computing Sciences; 4605 Data Management and Data Science,
2335,pub.1148091867,10.1109/tits.2022.3175656,,,The Revisiting Problem in Simultaneous Localization and Mapping: A Survey on Visual Loop Closure Detection,"Where am I? This is one of the most critical questions that any intelligent system should answer to decide whether it navigates to a previously visited area. This problem has long been acknowledged for its challenging nature in simultaneous localization and mapping (SLAM), wherein the robot needs to correctly associate the incoming sensory data to the database allowing consistent map generation. The significant advances in computer vision achieved over the last 20 years, the increased computational power, and the growing demand for long-term exploration contributed to efficiently performing such a complex task with inexpensive perception sensors. In this article, visual loop closure detection, which formulates a solution based solely on appearance input data, is surveyed. We start by briefly introducing place recognition and SLAM concepts in robotics. Then, we describe a loop closure detection system's structure, covering an extensive collection of topics, including the feature extraction, the environment representation, the decision-making step, and the evaluation process. We conclude by discussing open and new research challenges, particularly concerning the robustness in dynamic environments, the computational complexity, and scalability in long-term operations. The article aims to serve as a tutorial and a position paper for newcomers to visual loop closure detection.",,IEEE Transactions on Intelligent Transportation Systems,,,2022-05-23,2022,2022-05-23,,PP,99,1-25,All OA; Green,Article,"Tsintotas, Konstantinos A.; Bampis, Loukas; Gasteratos, Antonios","Tsintotas, Konstantinos A. (Department of Production and Management Engineering, Democritus University of Thrace, 67132 Xanthi, Greece.); Bampis, Loukas (Department of Electrical and Computer Engineering, Democritus University of Thrace, 67100 Xanthi, Greece.); Gasteratos, Antonios (Department of Production and Management Engineering, Democritus University of Thrace, 67132 Xanthi, Greece.)",,"Tsintotas, Konstantinos A. (Democritus University of Thrace); Bampis, Loukas (Democritus University of Thrace); Gasteratos, Antonios (Democritus University of Thrace)",6,6,,,http://arxiv.org/pdf/2204.12831,https://app.dimensions.ai/details/publication/pub.1148091867,46 Information and Computing Sciences; 4602 Artificial Intelligence,
2335,pub.1147408792,10.48550/arxiv.2204.12831,,,The Revisiting Problem in Simultaneous Localization and Mapping: A  Survey on Visual Loop Closure Detection,"Where am I? This is one of the most critical questions that any intelligent
system should answer to decide whether it navigates to a previously visited
area. This problem has long been acknowledged for its challenging nature in
simultaneous localization and mapping (SLAM), wherein the robot needs to
correctly associate the incoming sensory data to the database allowing
consistent map generation. The significant advances in computer vision achieved
over the last 20 years, the increased computational power, and the growing
demand for long-term exploration contributed to efficiently performing such a
complex task with inexpensive perception sensors. In this article, visual loop
closure detection, which formulates a solution based solely on appearance input
data, is surveyed. We start by briefly introducing place recognition and SLAM
concepts in robotics. Then, we describe a loop closure detection system's
structure, covering an extensive collection of topics, including the feature
extraction, the environment representation, the decision-making step, and the
evaluation process. We conclude by discussing open and new research challenges,
particularly concerning the robustness in dynamic environments, the
computational complexity, and scalability in long-term operations. The article
aims to serve as a tutorial and a position paper for newcomers to visual loop
closure detection.",,arXiv,,,2022-04-27,2022,,,,,,All OA; Green,Preprint,"Tsintotas, Konstantinos A.; Bampis, Loukas; Gasteratos, Antonios","Tsintotas, Konstantinos A. (); Bampis, Loukas (); Gasteratos, Antonios ()",,"Tsintotas, Konstantinos A. (); Bampis, Loukas (); Gasteratos, Antonios ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1147408792,46 Information and Computing Sciences; 4602 Artificial Intelligence,
2327,pub.1146452946,10.1007/978-981-16-9423-3_38,,,New Trend in Front-End Techniques of Visual SLAM: From Hand-Engineered Features to Deep-Learned Features,"Visual simultaneous localization and mapping (V-SLAM) technique plays a key role in perception of autonomous mobile robots, augmented/mixed/virtual reality, as well as spatial AI applications. This paper gives a very concise survey about the front-end module of a V-SLAM system, which is charge of feature extraction, short/long-term data association with outlier rejection, as well as variable initialization. Visual features are mainly salient and repeatable points, called keypoints, their traditional extractors and matchers are hand-engineered and not robust to viewpoint/illumination/seasonal change, which is crucial for long-term autonomy of mobile robots. Therefore, new trend about deep-learning-based keypoint extractors and matchers are introduced to enhance the robustness of V-SLAM systems even under challenging conditions.",,Lecture Notes in Electrical Engineering,Artificial Intelligence in China,,2022-03-22,2022,2022-03-22,2022,854,,298-307,Closed,Chapter,"Wang, Yue; Fu, Yu; Zheng, Ruixue; Wang, Le; Qi, Jianzhong","Wang, Yue (Key Laboratory of Electronics and Information Technology for Space Systems, Chinese Academy of Sciences, 100190, Beijing, China; Tianjin Key Laboratory of Wireless Mobile Communications and Power Transmission, Tianjin Normal University, 300387, Tianjin, China); Fu, Yu (Tianjin Key Laboratory of Wireless Mobile Communications and Power Transmission, Tianjin Normal University, 300387, Tianjin, China); Zheng, Ruixue (Tianjin Key Laboratory of Wireless Mobile Communications and Power Transmission, Tianjin Normal University, 300387, Tianjin, China); Wang, Le (Department of Electronic and Information Engineering, North China University of Technology, 100144, Beijing, China); Qi, Jianzhong (Department of Electronic and Information Engineering, North China University of Technology, 100144, Beijing, China)","Wang, Yue (Chinese Academy of Sciences; Tianjin Normal University)","Wang, Yue (Chinese Academy of Sciences; Tianjin Normal University); Fu, Yu (Tianjin Normal University); Zheng, Ruixue (Tianjin Normal University); Wang, Le (North China University of Technology); Qi, Jianzhong (North China University of Technology)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1146452946,46 Information and Computing Sciences; 4602 Artificial Intelligence,
2312,pub.1145733477,10.1109/iccece54139.2022.9712794,,,Bio-inspired Relocalization for Indoor Robots in Visual Ambiguous Scenarios,"In recent years, robots have been widely used in the service industry to improve work efficiency. An indoor service robot should have long-term autonomous adaptability and this is achieved by performing lifelong simultaneous localization and mapping (SLAM). However, when a robot wakes up to SLAM, it needs to relocate itself first. In real-world applications, the visual ambiguous environment which contains multiple locations with similar appearances or features is a challenging scenario for localization. Considering the insufficient expression ability of a single sensor, this paper proposes a bio-inspired relocalization method to deal with this problem. The local view cells model maintains multi-hypotheses to provide visual-based coarse relocalization. Then, an obstacle cell model converts the self-centered lidar information into allocentric representation. And it serves as the fine relocalization. A continuous attractor neural network (CANN) is applied to integrate the candidates obtained through the above two stages. Finally, the result of relocalization is selected by a double-checking mechanism. In the experiments, the success rate of the proposed method reaches 95 % in total and 75% in the most challenging scene. The translation error in all scenes is less than 0.15m.",This work is supported by Advanced Marine Communication and Information Technology Ministry of Industry and Information Technology Key Laboratory Project (No.AMCIT21V3).,,2022 2nd International Conference on Consumer Electronics and Computer Engineering (ICCECE),,2022-01-16,2022,,2022-01-16,00,,685-689,Closed,Proceeding,"Long, Yixuan; Jiang, Rui; Ye, Fang","Long, Yixuan (College of Information and Communication Engineering, Harbin Engineering University, Harbin, China; Key Laboratory of Advanced Marine Communication and Information Technology, Ministry of Industry and Information Technology); Jiang, Rui (Department of Electrical and Computer Engineering, National University of Singapore, Singapore); Ye, Fang (College of Information and Communication Engineering, Harbin Engineering University, Harbin, China; Key Laboratory of Advanced Marine Communication and Information Technology, Ministry of Industry and Information Technology)","Ye, Fang (Harbin Engineering University; )","Long, Yixuan (Harbin Engineering University); Jiang, Rui (National University of Singapore); Ye, Fang (Harbin Engineering University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1145733477,46 Information and Computing Sciences; 4602 Artificial Intelligence; 4605 Data Management and Data Science,
2249,pub.1147351435,10.1177/02783649221080483,,,RadarSLAM: A robust simultaneous localization and mapping system for all weather conditions,"A Simultaneous Localization and Mapping (SLAM) system must be robust to support long-term mobile vehicle and robot applications. However, camera and LiDAR based SLAM systems can be fragile when facing challenging illumination or weather conditions which degrade the utility of imagery and point cloud data. Radar, whose operating electromagnetic spectrum is less affected by environmental changes, is promising although its distinct sensor model and noise characteristics bring open challenges when being exploited for SLAM. This paper studies the use of a Frequency Modulated Continuous Wave radar for SLAM in large-scale outdoor environments. We propose a full radar SLAM system, including a novel radar motion estimation algorithm that leverages radar geometry for reliable feature tracking. It also optimally compensates motion distortion and estimates pose by joint optimization. Its loop closure component is designed to be simple yet efficient for radar imagery by capturing and exploiting structural information of the surrounding environment. Extensive experiments on three public radar datasets, ranging from city streets and residential areas to countryside and highways, show competitive accuracy and reliability performance of the proposed radar SLAM system compared to the state-of-the-art LiDAR, vision and radar methods. The results show that our system is technically viable in achieving reliable SLAM in extreme weather conditions on the RADIATE Dataset, for example, heavy snow and dense fog, demonstrating the promising potential of using radar for all-weather localization and mapping.","We thank Joshua Roe, Ted Ding, Saptarshi Mukherjee, Dr Marcel Sheeny and Dr Yun Wu for the help of our data collection.",The International Journal of Robotics Research,,,2022-04-24,2022,2022-04-24,2022-04,41,5,519-542,All OA; Hybrid,Article,"Hong, Ziyang; Petillot, Yvan; Wallace, Andrew; Wang, Sen","Hong, Ziyang (Edinburgh Centre for Robotics, Heriot-Watt University, Edinburgh, UK); Petillot, Yvan (Edinburgh Centre for Robotics, Heriot-Watt University, Edinburgh, UK); Wallace, Andrew (Edinburgh Centre for Robotics, Heriot-Watt University, Edinburgh, UK); Wang, Sen (Edinburgh Centre for Robotics, Heriot-Watt University, Edinburgh, UK)","Wang, Sen (Heriot-Watt University)","Hong, Ziyang (Heriot-Watt University); Petillot, Yvan (Heriot-Watt University); Wallace, Andrew (Heriot-Watt University); Wang, Sen (Heriot-Watt University)",1,1,,,https://journals.sagepub.com/doi/pdf/10.1177/02783649221080483,https://app.dimensions.ai/details/publication/pub.1147351435,40 Engineering; 4013 Geomatic Engineering,
2223,pub.1146680153,10.48550/arxiv.2203.13897,,,Spectral Measurement Sparsification for Pose-Graph SLAM,"Simultaneous localization and mapping (SLAM) is a critical capability in
autonomous navigation, but in order to scale SLAM to the setting of ""lifelong""
SLAM, particularly under memory or computation constraints, a robot must be
able to determine what information should be retained and what can safely be
forgotten. In graph-based SLAM, the number of edges (measurements) in a pose
graph determines both the memory requirements of storing a robot's observations
and the computational expense of algorithms deployed for performing state
estimation using those observations; both of which can grow unbounded during
long-term navigation. To address this, we propose a spectral approach for pose
graph sparsification which maximizes the algebraic connectivity of the
sparsified measurement graphs, a key quantity which has been shown to control
the estimation error of pose graph SLAM solutions. Our algorithm, MAC (for
""maximizing algebraic connectivity""), which is based on convex relaxation, is
simple and computationally inexpensive, and admits formal post hoc performance
guarantees on the quality of the solutions it provides. In experiments on
benchmark pose-graph SLAM datasets, we show that our approach quickly produces
high-quality sparsification results which retain the connectivity of the graph
and, in turn, the quality of corresponding SLAM solutions, as compared to a
baseline approach which does not consider graph connectivity.",,arXiv,,,2022-03-25,2022,,,,,,All OA; Green,Preprint,"Doherty, Kevin J.; Rosen, David M.; Leonard, John J.","Doherty, Kevin J. (); Rosen, David M. (); Leonard, John J. ()",,"Doherty, Kevin J. (); Rosen, David M. (); Leonard, John J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1146680153,49 Mathematical Sciences; 4901 Applied Mathematics,
2220,pub.1146046628,10.48550/arxiv.2203.01578,,,Continual SLAM: Beyond Lifelong Simultaneous Localization and Mapping  through Continual Learning,"Robots operating in the open world encounter various different environments
that can substantially differ from each other. This domain gap also poses a
challenge for Simultaneous Localization and Mapping (SLAM) being one of the
fundamental tasks for navigation. In particular, learning-based SLAM methods
are known to generalize poorly to unseen environments hindering their general
adoption. In this work, we introduce the novel task of continual SLAM extending
the concept of lifelong SLAM from a single dynamically changing environment to
sequential deployments in several drastically differing environments. To
address this task, we propose CL-SLAM leveraging a dual-network architecture to
both adapt to new environments and retain knowledge with respect to previously
visited environments. We compare CL-SLAM to learning-based as well as classical
SLAM methods and show the advantages of leveraging online data. We extensively
evaluate CL-SLAM on three different datasets and demonstrate that it
outperforms several baselines inspired by existing continual learning-based
visual odometry methods. We make the code of our work publicly available at
http://continual-slam.cs.uni-freiburg.de.",,arXiv,,,2022-03-03,2022,,,,,,All OA; Green,Preprint,"Vödisch, Niclas; Cattaneo, Daniele; Burgard, Wolfram; Valada, Abhinav","Vödisch, Niclas (); Cattaneo, Daniele (); Burgard, Wolfram (); Valada, Abhinav ()",,"Vödisch, Niclas (); Cattaneo, Daniele (); Burgard, Wolfram (); Valada, Abhinav ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1146046628,46 Information and Computing Sciences; 4602 Artificial Intelligence; 4605 Data Management and Data Science,4 Quality Education
2177,pub.1150378054,10.23919/fusion49751.2022.9841255,,,Feature Based Multi-Hypothesis Map Representation for Localization in Non-Static Environments,"Long-term autonomy of robots requires localization in an inevitably changing environment, where the robots' knowledge about the surroundings are more or less uncertain. Inspired by methods in target tracking, this paper proposes a feature based multi-hypothesis map representation to provide robust localization under these conditions. It is derived how this representation can be used to obtain consistent position estimates while at the same time providing up-to-date map information to be shared by cooperative robots or for visual presentation. Simulations are performed that conceptually highlights the benefit of the developed solution in an environment where uniquely identifiable landmarks are moved between discrete positions. This relates to a real world scenario where a robot moves in a corridor with office doors opened or closed at different times.",,,2022 25th International Conference on Information Fusion (FUSION),,2022-08-09,2022,2022-08-09,,,,1-8,All OA; Green,Proceeding,"Nielsen, Kristin; Hendeby, Gustaf","Nielsen, Kristin (Epiroc Rock Drills AB,&#x00D6;rebro,Sweden); Hendeby, Gustaf (Link&#x00F6;ping University,Dept. Electrical Engineering,Link&#x00F6;ping,Sweden)",,"Nielsen, Kristin (); Hendeby, Gustaf ()",0,0,,,http://liu.diva-portal.org/smash/get/diva2:1690495/FULLTEXT01,https://app.dimensions.ai/details/publication/pub.1150378054,46 Information and Computing Sciences; 4602 Artificial Intelligence,
2144,pub.1146726270,10.48550/arxiv.2203.15272,,,Sparse Image based Navigation Architecture to Mitigate the need of  precise Localization in Mobile Robots,"Traditional simultaneous localization and mapping (SLAM) methods focus on
improvement in the robot's localization under environment and sensor
uncertainty. This paper, however, focuses on mitigating the need for exact
localization of a mobile robot to pursue autonomous navigation using a sparse
set of images. The proposed method consists of a model architecture - RoomNet,
for unsupervised learning resulting in a coarse identification of the
environment and a separate local navigation policy for local identification and
navigation. The former learns and predicts the scene based on the short term
image sequences seen by the robot along with the transition image scenarios
using long term image sequences. The latter uses sparse image matching to
characterise the similarity of frames achieved vis-a-vis the frames viewed by
the robot during the mapping and training stage. A sparse graph of the image
sequence is created which is then used to carry out robust navigation purely on
the basis of visual goals. The proposed approach is evaluated on two robots in
a test environment and demonstrates the ability to navigate in dynamic
environments where landmarks are obscured and classical localization methods
fail.",,arXiv,,,2022-03-29,2022,,,,,,All OA; Green,Preprint,"Mathur, Pranay; Kumar, Rajesh; Upadhyay, Sarthak","Mathur, Pranay (); Kumar, Rajesh (); Upadhyay, Sarthak ()",,"Mathur, Pranay (); Kumar, Rajesh (); Upadhyay, Sarthak ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1146726270,46 Information and Computing Sciences; 4602 Artificial Intelligence; 4603 Computer Vision and Multimedia Computation,
2045,pub.1150954539,10.48550/arxiv.2209.04497,,,General Place Recognition Survey: Towards the Real-world Autonomy Age,"Place recognition is the fundamental module that can assist Simultaneous
Localization and Mapping (SLAM) in loop-closure detection and re-localization
for long-term navigation. The place recognition community has made astonishing
progress over the last $20$ years, and this has attracted widespread research
interest and application in multiple fields such as computer vision and
robotics. However, few methods have shown promising place recognition
performance in complex real-world scenarios, where long-term and large-scale
appearance changes usually result in failures. Additionally, there is a lack of
an integrated framework amongst the state-of-the-art methods that can handle
all of the challenges in place recognition, which include appearance changes,
viewpoint differences, robustness to unknown areas, and efficiency in
real-world applications. In this work, we survey the state-of-the-art methods
that target long-term localization and discuss future directions and
opportunities.
  We start by investigating the formulation of place recognition in long-term
autonomy and the major challenges in real-world environments. We then review
the recent works in place recognition for different sensor modalities and
current strategies for dealing with various place recognition challenges.
Finally, we review the existing datasets for long-term localization and
introduce our datasets and evaluation API for different approaches. This paper
can be a tutorial for researchers new to the place recognition community and
those who care about long-term robotics autonomy. We also provide our opinion
on the frequently asked question in robotics: Do robots need accurate
localization for long-term autonomy? A summary of this work and our datasets
and evaluation API is publicly available to the robotics community at:
https://github.com/MetaSLAM/GPRS.",,arXiv,,,2022-09-09,2022,,,,,,All OA; Green,Preprint,"Yin, Peng; Zhao, Shiqi; Cisneros, Ivan; Abuduweili, Abulikemu; Huang, Guoquan; Milford, Micheal; Liu, Changliu; Choset, Howie; Scherer, Sebastian","Yin, Peng (); Zhao, Shiqi (); Cisneros, Ivan (); Abuduweili, Abulikemu (); Huang, Guoquan (); Milford, Micheal (); Liu, Changliu (); Choset, Howie (); Scherer, Sebastian ()",,"Yin, Peng (); Zhao, Shiqi (); Cisneros, Ivan (); Abuduweili, Abulikemu (); Huang, Guoquan (); Milford, Micheal (); Liu, Changliu (); Choset, Howie (); Scherer, Sebastian ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1150954539,46 Information and Computing Sciences; 4605 Data Management and Data Science; 4608 Human-Centred Computing,
2025,pub.1148581175,10.1109/tim.2022.3181903,,,A Lightweight Feature Map Creation Method for Intelligent Vehicle Localization in Urban Road Environments,"Accurate and reliable localization in urban environments is critical for high-level autonomous driving systems. In comparison to other localization strategies, map-based methods are more reliable and have higher localization accuracy. However, due to higher storage and update costs, dense map-based localization methods are inefficient for widespread use. In urban road environments, structural features, such as road curbs that limit the road passable area, and pole-like features, such as streetlights, tree trunks, and traffic lights, exhibit exceptional long-term stability and extraction consistency. The maps based on road curbs and pole-like features are unaffected by dynamic obstacles, such as vehicles and pedestrians, making them ideal for vehicle localization in urban environments. In this article, we design a lightweight feature map for LiDAR localization in urban environments based on road curbs and pole-like features, and propose a novel, fast, and accurate extraction strategy for these features, implementing the entire pipeline of feature extraction, map construction, and localization. We combine the orderliness of 2-D range images with the spatial properties of 3-D point clouds to extract road curbs and poles quickly and accurately. The proposed feature extraction methods and localization system are evaluated on datasets collected in multiple environments and times. The experimental results demonstrate that the method proposed in this article is more efficient and robust at features’ extraction and vehicle localization compared with other state-of-the-art approaches.",,IEEE Transactions on Instrumentation and Measurement,,,2022-01-01,2022,2022-06-09,2022-01-01,71,,1-15,Closed,Article,"Cai, Yingfeng; Lu, Ziheng; Wang, Hai; Chen, Long; Li, Yicheng","Cai, Yingfeng (Automotive Engineering Research Institute, Jiangsu University, Zhenjiang, 212013, China); Lu, Ziheng (School of Automotive and Traffic Engineering, Jiangsu University, Zhenjiang, 212013, China); Wang, Hai (School of Automotive and Traffic Engineering, Jiangsu University, Zhenjiang, 212013, China); Chen, Long (Automotive Engineering Research Institute, Jiangsu University, Zhenjiang, 212013, China); Li, Yicheng (Automotive Engineering Research Institute, Jiangsu University, Zhenjiang, 212013, China)","Wang, Hai (Jiangsu University)","Cai, Yingfeng (Jiangsu University); Lu, Ziheng (Jiangsu University); Wang, Hai (Jiangsu University); Chen, Long (Jiangsu University); Li, Yicheng (Jiangsu University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1148581175,"40 Engineering; 4006 Communications Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware",3 Good Health and Well Being
1963,pub.1144782292,10.48550/arxiv.2201.05977,,,Lightweight Object-level Topological Semantic Mapping and Long-term  Global Localization based on Graph Matching,"Mapping and localization are two essential tasks for mobile robots in
real-world applications. However, largescale and dynamic scenes challenge the
accuracy and robustness of most current mature solutions. This situation
becomes even worse when computational resources are limited. In this paper, we
present a novel lightweight object-level mapping and localization method with
high accuracy and robustness. Different from previous methods, our method does
not need a prior constructed precise geometric map, which greatly releases the
storage burden, especially for large-scale navigation. We use object-level
features with both semantic and geometric information to model landmarks in the
environment. Particularly, a learning topological primitive is first proposed
to efficiently obtain and organize the object-level landmarks. On the basis of
this, we use a robot-centric mapping framework to represent the environment as
a semantic topology graph and relax the burden of maintaining global
consistency at the same time. Besides, a hierarchical memory management
mechanism is introduced to improve the efficiency of online mapping with
limited computational resources. Based on the proposed map, the robust
localization is achieved by constructing a novel local semantic scene graph
descriptor, and performing multi-constraint graph matching to compare scene
similarity. Finally, we test our method on a low-cost embedded platform to
demonstrate its advantages. Experimental results on a large scale and
multi-session real-world environment show that the proposed method outperforms
the state of arts in terms of lightweight and robustness.",,arXiv,,,2022-01-16,2022,,,,,,All OA; Green,Preprint,"Wang, Fan; Zhang, Chaofan; Tang, Fulin; Jiang, Hongkui; Wu, Yihong; Liu, Yong","Wang, Fan (); Zhang, Chaofan (); Tang, Fulin (); Jiang, Hongkui (); Wu, Yihong (); Liu, Yong ()",,"Wang, Fan (); Zhang, Chaofan (); Tang, Fulin (); Jiang, Hongkui (); Wu, Yihong (); Liu, Yong ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1144782292,46 Information and Computing Sciences; 4602 Artificial Intelligence; 4605 Data Management and Data Science,
1922,pub.1146188448,10.1109/maes.2022.3154110,,,I Am Not Afraid of the GPS Jammer: Resilient Navigation Via Signals of Opportunity in GPS-Denied Environments,"I am not afraid of the GPS jammer, as long as there are ambient signals of opportunity (SOPs) to exploit in the environment. In environments where GPS signals are challenged (e.g., indoors and deep urban canyons) or denied (e.g., under jamming and spoofing attacks), SOPs could serve as an alternative positioning, navigation, and timing (PNT) source to GPS, and more generally, to global navigation satellite systems (GNSS). This article presents a radio simultaneous localization and mapping (radio SLAM) approach that enables the exploitation of SOPs for resilient and accurate PNT. Radio SLAM estimates the states of the navigator-mounted receiver simultaneously with the SOPs states. Radio SLAM could produce an SOP-derived navigation solution in a standalone fashion or by fusing SOPs with sensors [e.g., inertial measurement unit (IMU), lidar, etc.], digital maps, and/or other signals (e.g., GNSS). This article presents the first published experimental results evaluating the efficacy of radio SLAM in a real GPS-denied environment. These experiments took place at Edwards Air Force Base, California, USA, during which GPS was intentionally jammed with jamming-to-signal ratio as high as 90 dB. This article evaluates the timing of two cellular long-term evolution (LTE) SOPs located in the jammed environment, showing timing stability over 95 min of GPS jamming. Moreover, the article presents navigation results showcasing a ground vehicle traversing a trajectory of about 5 km in 180 s in the GPS-jammed environment. The vehicle's GPS-IMU system drifted from the vehicle's ground truth trajectory, resulting in a position root mean-squared error (RMSE) of 238 m. In contrast, the radio SLAM approach with a single cellular LTE SOP whose position was poorly known (an initial uncertainty on the order of several kilometers) achieved a position RMSE of 32 m.","The authors would like to thank Edwards AFB for inviting the ASPIN Laboratory to conduct experiments during DT NAVFEST. The authors would also like to thank J. Morales, K. Shamaei, M. Maaref, K. Semelka, M. Nguyen, and T. Mortlock for their help with data collection. Distribution Statement A. Approved for public release; Distribution is unlimited 412TW-PA-20399.",IEEE Aerospace and Electronic Systems Magazine,,,2022-03-10,2022,2022-03-10,,37,7,4-19,Closed,Article,"Kassas, Zaher M.; Khalife, Joe; Abdallah, Ali A.; Lee, Chiawei","Kassas, Zaher M. (University of California, Irvine, CA, 92697, USA); Khalife, Joe (University of California, Irvine, CA, 92697, USA); Abdallah, Ali A. (University of California, Irvine, CA, 92697, USA); Lee, Chiawei (U.S. Air Force Test Pilot School, Edwards, CA, 93524, USA)","Kassas, Zaher M. (University of California, Irvine)","Kassas, Zaher M. (University of California, Irvine); Khalife, Joe (University of California, Irvine); Abdallah, Ali A. (University of California, Irvine); Lee, Chiawei ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1146188448,40 Engineering; 4013 Geomatic Engineering,11 Sustainable Cities and Communities
1892,pub.1151766253,,,,Sparse Semantic Map-Based Monocular Localization in Traffic Scenes Using  Learned 2D-3D Point-Line Correspondences,"Vision-based localization in a prior map is of crucial importance for
autonomous vehicles. Given a query image, the goal is to estimate the camera
pose corresponding to the prior map, and the key is the registration problem of
camera images within the map. While autonomous vehicles drive on the road under
occlusion (e.g., car, bus, truck) and changing environment appearance (e.g.,
illumination changes, seasonal variation), existing approaches rely heavily on
dense point descriptors at the feature level to solve the registration problem,
entangling features with appearance and occlusion. As a result, they often fail
to estimate the correct poses. To address these issues, we propose a sparse
semantic map-based monocular localization method, which solves 2D-3D
registration via a well-designed deep neural network. Given a sparse semantic
map that consists of simplified elements (e.g., pole lines, traffic sign
midpoints) with multiple semantic labels, the camera pose is then estimated by
learning the corresponding features between the 2D semantic elements from the
image and the 3D elements from the sparse semantic map. The proposed sparse
semantic map-based localization approach is robust against occlusion and
long-term appearance changes in the environments. Extensive experimental
results show that the proposed method outperforms the state-of-the-art
approaches.",,arXiv,,,2022-10-10,2022,,,,,,All OA; Green,Preprint,"Chen, Xingyu; Xue, Jianru; Pang, Shanmin","Chen, Xingyu (); Xue, Jianru (); Pang, Shanmin ()",,"Chen, Xingyu (); Xue, Jianru (); Pang, Shanmin ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1151766253,"46 Information and Computing Sciences; 4603 Computer Vision and Multimedia Computation; 4607 Graphics, Augmented Reality and Games",
